ra_hr,ra_min,ra_sec,dec,flux_den
5,37.8421052632,35.6315789474,1.3421052632,7
5,37.8947368421,36.4210526316,2.3947368421,7
5,37.9473684211,37.2105263158,3.4473684211,7.25
5,38,38,4.5,7.5
5,49,23,-15.5,5
5,49.0526315789,23.7894736842,-14.4473684211,5
5,49.1052631579,24.5789473684,-13.3947368421,4.9
5,49.1578947368,25.3684210526,-12.3421052632,4.9
5,49.2105263158,26.1578947368,-11.2894736842,4.9
5,49.2631578947,26.9473684211,-10.2368421053,5
5,49.3157894737,27.7368421053,-9.1842105263,5.2
5,49.3684210526,28.5263157895,-8.1315789474,5.5
5,49.4210526316,29.3157894737,-7.0789473684,5.5
5,49.4736842105,30.1052631579,-6.0263157895,5.9
5,49.5263157895,30.8947368421,-4.9736842105,5.9
5,49.5789473684,31.6842105263,-3.9210526316,6
5,49.6315789474,32.4736842105,-2.8684210526,6
5,49.6842105263,33.2631578947,-1.8157894737,7
5,49.7368421053,34.0526315789,-0.7631578947,7
5,49.7894736842,34.8421052632,0.2894736842,7
5,49.8421052632,35.6315789474,1.3421052632,7
5,49.8947368421,36.4210526316,2.3947368421,7.5
5,49.9473684211,37.2105263158,3.4473684211,7.2
5,50,38,4.5,7.3
6,13,23,-15.5,3.75
6,13.0526315789,23.7894736842,-14.4473684211,3.5
6,13.1052631579,24.5789473684,-13.3947368421,3.5
6,13.1578947368,25.3684210526,-12.3421052632,3.5
6,13.2105263158,26.1578947368,-11.2894736842,3.5
6,13.2631578947,26.9473684211,-10.2368421053,3.75
6,13.3157894737,27.7368421053,-9.1842105263,3.5
6,13.3684210526,28.5263157895,-8.1315789474,3.8
6,13.4210526316,29.3157894737,-7.0789473684,3.8
6,13.4736842105,30.1052631579,-6.0263157895,4
6,13.5263157895,30.8947368421,-4.9736842105,4
6,13.5789473684,31.6842105263,-3.9210526316,4
6,13.6315789474,32.4736842105,-2.8684210526,4.25
6,13.6842105263,33.2631578947,-1.8157894737,4.5
6,13.7368421053,34.0526315789,-0.7631578947,4.6
6,13.7894736842,34.8421052632,0.2894736842,4.8
6,13.8421052632,35.6315789474,1.3421052632,5
6,13.8947368421,36.4210526316,2.3947368421,5
6,13.9473684211,37.2105263158,3.4473684211,5.5
6,14,38,4.5,6
6,5,23,-15.5,3.5
6,5.0526315789,23.7894736842,-14.4473684211,3.75
6,5.1052631579,24.5789473684,-13.3947368421,3.75
6,5.1578947368,25.3684210526,-12.3421052632,3.9
6,5.2105263158,26.1578947368,-11.2894736842,4
6,5.2631578947,26.9473684211,-10.2368421053,4
6,5.3157894737,27.7368421053,-9.1842105263,4
6,5.3684210526,28.5263157895,-8.1315789474,4.5
6,5.4210526316,29.3157894737,-7.0789473684,4.1
6,5.4736842105,30.1052631579,-6.0263157895,4
6,5.5263157895,30.8947368421,-4.9736842105,4.25
6,5.5789473684,31.6842105263,-3.9210526316,4.5
6,5.6315789474,32.4736842105,-2.8684210526,4.8
6,5.6842105263,33.2631578947,-1.8157894737,5
6,5.7368421053,34.0526315789,-0.7631578947,5.1
6,5.7894736842,34.8421052632,0.2894736842,5.75
6,5.8421052632,35.6315789474,1.3421052632,5.3
6,5.8947368421,36.4210526316,2.3947368421,5.4
6,5.9473684211,37.2105263158,3.4473684211,5.6
6,6,38,4.5,6
6,1,23,-15.5,4
6,1.0526315789,23.7894736842,-14.4473684211,4
6,1.1052631579,24.5789473684,-13.3947368421,4
6,1.1578947368,25.3684210526,-12.3421052632,4
6,1.2105263158,26.1578947368,-11.2894736842,4
6,1.2631578947,26.9473684211,-10.2368421053,4.1
6,1.3157894737,27.7368421053,-9.1842105263,4.2
6,1.3684210526,28.5263157895,-8.1315789474,4.1
6,1.4210526316,29.3157894737,-7.0789473684,4.3
6,1.4736842105,30.1052631579,-6.0263157895,4.5
6,1.5263157895,30.8947368421,-4.9736842105,4.6
6,1.5789473684,31.6842105263,-3.9210526316,4.6
6,1.6315789474,32.4736842105,-2.8684210526,4.8
6,1.6842105263,33.2631578947,-1.8157894737,5.1
6,1.7368421053,34.0526315789,-0.7631578947,5.5
6,1.7894736842,34.8421052632,0.2894736842,5.8
6,1.8421052632,35.6315789474,1.3421052632,6
6,1.8947368421,36.4210526316,2.3947368421,6.1
6,1.9473684211,37.2105263158,3.4473684211,6.4
6,2,38,4.5,6.6
5,45,23,-15.5,5
5,45.0526315789,23.7894736842,-14.4473684211,4.9
5,45.1052631579,24.5789473684,-13.3947368421,5
5,45.1578947368,25.3684210526,-12.3421052632,5
5,45.2105263158,26.1578947368,-11.2894736842,5
5,45.2631578947,26.9473684211,-10.2368421053,5.2
5,45.3157894737,27.7368421053,-9.1842105263,5.8
5,45.3684210526,28.5263157895,-8.1315789474,5.6
5,45.4210526316,29.3157894737,-7.0789473684,5.5
5,45.4736842105,30.1052631579,-6.0263157895,5.8
5,45.5263157895,30.8947368421,-4.9736842105,5.8
5,45.5789473684,31.6842105263,-3.9210526316,6
5,45.6315789474,32.4736842105,-2.8684210526,6
5,45.6842105263,33.2631578947,-1.8157894737,6
5,45.7368421053,34.0526315789,-0.7631578947,6.5
5,45.7894736842,34.8421052632,0.2894736842,7.1
5,45.8421052632,35.6315789474,1.3421052632,7
5,45.8947368421,36.4210526316,2.3947368421,6.9
5,45.9473684211,37.2105263158,3.4473684211,6.9
5,46,38,4.5,7
6,9,23,-15.5,4
6,9.0526315789,23.7894736842,-14.4473684211,3.5
6,9.1052631579,24.5789473684,-13.3947368421,3.5
6,9.1578947368,25.3684210526,-12.3421052632,3.5
6,9.2105263158,26.1578947368,-11.2894736842,3.5
6,9.2631578947,26.9473684211,-10.2368421053,3.5
6,9.3157894737,27.7368421053,-9.1842105263,3.7
6,9.3684210526,28.5263157895,-8.1315789474,3.9
6,9.4210526316,29.3157894737,-7.0789473684,4
6,9.4736842105,30.1052631579,-6.0263157895,3.8
6,9.5263157895,30.8947368421,-4.9736842105,3.9
6,9.5789473684,31.6842105263,-3.9210526316,4
6,9.6315789474,32.4736842105,-2.8684210526,4.1
6,9.6842105263,33.2631578947,-1.8157894737,4.5
6,9.7368421053,34.0526315789,-0.7631578947,5
6,9.7894736842,34.8421052632,0.2894736842,5.1
6,9.8421052632,35.6315789474,1.3421052632,5.1
6,9.8947368421,36.4210526316,2.3947368421,5.3
6,9.9473684211,37.2105263158,3.4473684211,5.6
6,10,38,4.5,6
5,21,23,-15.5,4.5
5,21.0526315789,23.7894736842,-14.4473684211,4.7
5,21.1052631579,24.5789473684,-13.3947368421,4.9
5,21.1578947368,25.3684210526,-12.3421052632,4.9
5,21.2105263158,26.1578947368,-11.2894736842,5
5,21.2631578947,26.9473684211,-10.2368421053,5
5,21.3157894737,27.7368421053,-9.1842105263,5
5,21.3684210526,28.5263157895,-8.1315789474,5
5,21.4210526316,29.3157894737,-7.0789473684,5.2
5,21.4736842105,30.1052631579,-6.0263157895,5.3
5,21.5263157895,30.8947368421,-4.9736842105,5.5
5,21.5789473684,31.6842105263,-3.9210526316,5.7
5,21.6315789474,32.4736842105,-2.8684210526,5.8
5,21.6842105263,33.2631578947,-1.8157894737,5.5
5,21.7368421053,34.0526315789,-0.7631578947,5.6
5,21.7894736842,34.8421052632,0.2894736842,6
5,21.8421052632,35.6315789474,1.3421052632,6
5,21.8947368421,36.4210526316,2.3947368421,6.2
5,21.9473684211,37.2105263158,3.4473684211,6.9
5,22,38,4.5,7.1
5,25,23,-15.5,4.5
5,25.0526315789,23.7894736842,-14.4473684211,4.8
5,25.1052631579,24.5789473684,-13.3947368421,4.9
5,25.1578947368,25.3684210526,-12.3421052632,4.9
5,25.2105263158,26.1578947368,-11.2894736842,5
5,25.2631578947,26.9473684211,-10.2368421053,5
5,25.3157894737,27.7368421053,-9.1842105263,5.1
5,25.3684210526,28.5263157895,-8.1315789474,5
5,25.4210526316,29.3157894737,-7.0789473684,5.1
5,25.4736842105,30.1052631579,-6.0263157895,5.3
5,25.5263157895,30.8947368421,-4.9736842105,5.6
5,25.5789473684,31.6842105263,-3.9210526316,5.7
5,25.6315789474,32.4736842105,-2.8684210526,5.9
5,25.6842105263,33.2631578947,-1.8157894737,5.7
5,25.7368421053,34.0526315789,-0.7631578947,5.9
5,25.7894736842,34.8421052632,0.2894736842,5.6
5,25.8421052632,35.6315789474,1.3421052632,6
5,25.8947368421,36.4210526316,2.3947368421,6.1
5,25.9473684211,37.2105263158,3.4473684211,6.6
5,26,38,4.5,7
4,49,23,-15.5,4.25
4,49.0526315789,23.7894736842,-14.4473684211,4.5
4,49.1052631579,24.5789473684,-13.3947368421,4.25
4,49.1578947368,25.3684210526,-12.3421052632,4
4,49.2105263158,26.1578947368,-11.2894736842,4
4,49.2631578947,26.9473684211,-10.2368421053,4.25
4,49.3157894737,27.7368421053,-9.1842105263,4.5
4,49.3684210526,28.5263157895,-8.1315789474,4.3
4,49.4210526316,29.3157894737,-7.0789473684,4.5
4,49.4736842105,30.1052631579,-6.0263157895,4.25
4,49.5263157895,30.8947368421,-4.9736842105,4.6
4,49.5789473684,31.6842105263,-3.9210526316,4.9
4,49.6315789474,32.4736842105,-2.8684210526,4.9
4,49.6842105263,33.2631578947,-1.8157894737,5
4,49.7368421053,34.0526315789,-0.7631578947,5.1
4,49.7894736842,34.8421052632,0.2894736842,5.25
4,49.8421052632,35.6315789474,1.3421052632,5.75
4,49.8947368421,36.4210526316,2.3947368421,5.9
4,49.9473684211,37.2105263158,3.4473684211,6
4,50,38,4.5,6.1
4,53,23,-15.5,4.2
4,53.0526315789,23.7894736842,-14.4473684211,4.25
4,53.1052631579,24.5789473684,-13.3947368421,4.1
4,53.1578947368,25.3684210526,-12.3421052632,4.1
4,53.2105263158,26.1578947368,-11.2894736842,4
4,53.2631578947,26.9473684211,-10.2368421053,4.25
4,53.3157894737,27.7368421053,-9.1842105263,4.3
4,53.3684210526,28.5263157895,-8.1315789474,4.4
4,53.4210526316,29.3157894737,-7.0789473684,4.4
4,53.4736842105,30.1052631579,-6.0263157895,4.75
4,53.5263157895,30.8947368421,-4.9736842105,4.75
4,53.5789473684,31.6842105263,-3.9210526316,4.8
4,53.6315789474,32.4736842105,-2.8684210526,4.9
4,53.6842105263,33.2631578947,-1.8157894737,5
4,53.7368421053,34.0526315789,-0.7631578947,5
4,53.7894736842,34.8421052632,0.2894736842,5.1
4,53.8421052632,35.6315789474,1.3421052632,5.3
4,53.8947368421,36.4210526316,2.3947368421,5.5
4,53.9473684211,37.2105263158,3.4473684211,5.8
4,54,38,4.5,6
5,1,23,-15.5,4.5
5,1.052631579,23.78947368,-14.44736842,4.5
5,1.105263158,24.57894737,-13.39473684,4.5
5,1.157894737,25.36842105,-12.34210526,4.5
5,1.210526316,26.15789474,-11.28947368,4.5
5,1.263157895,26.94736842,-10.23684211,4.8
5,1.315789474,27.73684211,-9.184210526,4.5
5,1.368421053,28.52631579,-8.131578947,4.5
5,1.421052632,29.31578947,-7.078947368,4.5
5,1.473684211,30.10526316,-6.026315789,4.8
5,1.526315789,30.89473684,-4.973684211,4.8
5,1.578947368,31.68421053,-3.921052632,5
5,1.631578947,32.47368421,-2.868421053,5.1
5,1.684210526,33.26315789,-1.815789474,5.2
5,1.736842105,34.05263158,-0.7631578947,5.2
5,1.789473684,34.84210526,0.2894736842,5.5
5,1.842105263,35.63157895,1.342105263,5.8
5,1.894736842,36.42105263,2.394736842,6
5,1.947368421,37.21052632,3.447368421,6
5,2,38,4.5,6.5
5,53,23,-15.5,4.8
5,53.05263158,23.78947368,-14.44736842,4.6
5,53.10526316,24.57894737,-13.39473684,4.7
5,53.15789474,25.36842105,-12.34210526,4.8
5,53.21052632,26.15789474,-11.28947368,4.7
5,53.26315789,26.94736842,-10.23684211,4.9
5,53.31578947,27.73684211,-9.184210526,4.9
5,53.36842105,28.52631579,-8.131578947,5.2
5,53.42105263,29.31578947,-7.078947368,5.5
5,53.47368421,30.10526316,-6.026315789,5.4
5,53.52631579,30.89473684,-4.973684211,5.5
5,53.57894737,31.68421053,-3.921052632,5.7
5,53.63157895,32.47368421,-2.868421053,6
5,53.68421053,33.26315789,-1.815789474,6.4
5,53.73684211,34.05263158,-0.7631578947,6.6
5,53.78947368,34.84210526,0.2894736842,6.7
5,53.84210526,35.63157895,1.342105263,6.4
5,53.89473684,36.42105263,2.394736842,6.4
5,53.94736842,37.21052632,3.447368421,6.7
5,54,38,4.5,7.1
5,33,32,-15.5,4.3
5,33.05263158,32.78947368,-14.44736842,4.2
5,33.10526316,33.57894737,-13.39473684,4.5
5,33.15789474,34.36842105,-12.34210526,4.8
5,33.21052632,35.15789474,-11.28947368,5
5,33.26315789,35.94736842,-10.23684211,5
5,33.31578947,36.73684211,-9.184210526,5.1
5,33.36842105,37.52631579,-8.131578947,5.5
5,33.42105263,38.31578947,-7.078947368,20
5,33.47368421,39.10526316,-6.026315789,27.1
5,33.52631579,39.89473684,-4.973684211,7.4
5,33.57894737,40.68421053,-3.921052632,6.1
5,33.63157895,41.47368421,-2.868421053,6
5,33.68421053,42.26315789,-1.815789474,6.1
5,33.73684211,43.05263158,-0.7631578947,6.2
5,33.78947368,43.84210526,0.2894736842,6.5
5,33.84210526,44.63157895,1.342105263,6.7
5,33.89473684,45.42105263,2.394736842,7
5,33.94736842,46.21052632,3.447368421,7.1
5,34,47,4.5,7.3
5,17,23,-15.5,4.8
5,17.05263158,23.78947368,-14.44736842,4.8
5,17.10526316,24.57894737,-13.39473684,4.9
5,17.15789474,25.36842105,-12.34210526,4.8
5,17.21052632,26.15789474,-11.28947368,5
5,17.26315789,26.94736842,-10.23684211,5
5,17.31578947,27.73684211,-9.184210526,5.1
5,17.36842105,28.52631579,-8.131578947,5.1
5,17.42105263,29.31578947,-7.078947368,5.2
5,17.47368421,30.10526316,-6.026315789,5.1
